# perft_suite_960.txt - reference node counts for ./perft, Chess960
#
#   ./perft -d 4 -f perft_suite_960.txt                  counts only (3840 runs)
#   ./perft --check --nobulk --make all -d 3 -f perft_suite_960.txt
#                                                        counts + reconcile() + all make modes
#
# NOTE: give this file with -f. A positional argument containing '/' is parsed as a FEN.
#
# All 960 Chess960 start positions in Scharnagl (SP) order, SP-0 first; SP-518 is the standard
# array. Castling is written Shredder-style (rook FILES, e.g. HAha), which is what fen2board()
# understands -- it does NOT infer 960 rook files from a plain KQkq.
#
# Counts generated against Stockfish with 'setoption name UCI_Chess960 value true', as the note
# in perft_suite.txt requires: a recalled number would be indistinguishable from a generator bug.
#
# This suite found a real defect. undo_move() restored the castling rook to its source BEFORE
# clearing its destination, and in Chess960 those can be the SAME square (castling queenside with
# the rook already on d1/d8), so the rook was written and immediately erased from the mailbox.
# The bitboards survived, because the two XORs of one bit cancel -- so every count-based test
# passed with the bug present, in all three make modes, to depth 4. Only reconcile() saw it.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
nrbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKRN w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165231
nrbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136992
nrbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKRNB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7735 ;D4 164924
nbrqbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164145
nrqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKRN w GBgb - 0 1 ;D1 19 ;D2 361 ;D3 7737 ;D4 165229
nrqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136995
nrqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBRNB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163311
nbrqkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRQKRBN w FCfc - 0 1 ;D1 18 ;D2 324 ;D3 6632 ;D4 134845
nrqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NRQBKRBN w FBfb - 0 1 ;D1 18 ;D2 324 ;D3 6656 ;D4 136027
nrqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRQKRBBN w EBeb - 0 1 ;D1 18 ;D2 324 ;D3 6654 ;D4 135922
nrqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKRNBB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7746 ;D4 165356
bbnrkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQRN w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166992
bnrbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163311
bnrkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBRN w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8862 ;D4 195489
bnrkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQRNB w FCfc - 0 1 ;D1 21 ;D2 441 ;D3 10099 ;D4 230106
nbbrkqrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQRN w GDgd - 0 1 ;D1 18 ;D2 324 ;D3 6654 ;D4 135922
nrbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136995
nrbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6680 ;D4 136992
nrbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQRNB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7697 ;D4 163313
nbrkbqrn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQRN w GCgc - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163901
nrkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6682 ;D4 137243
nrkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBRN w GBgb - 0 1 ;D1 18 ;D2 324 ;D3 6682 ;D4 137243
nrkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBRNB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 162825
nbrkqrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKQRBN w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7685 ;D4 162639
nrkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBQRBN w FBfb - 0 1 ;D1 18 ;D2 324 ;D3 6658 ;D4 136313
nrkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKQRBBN w EBeb - 0 1 ;D1 18 ;D2 324 ;D3 6656 ;D4 136014
nrkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQRNBB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7744 ;D4 164741
bbnrkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRQN w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7778 ;D4 166764
bnrbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRQN w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7693 ;D4 163115
bnrkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBQN w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8856 ;D4 195209
bnrkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRQNB w ECec - 0 1 ;D1 21 ;D2 441 ;D3 10097 ;D4 230242
nbbrkrqn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRQN w FDfd - 0 1 ;D1 18 ;D2 324 ;D3 6648 ;D4 135718
nrbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRQN w FBfb - 0 1 ;D1 18 ;D2 324 ;D3 6674 ;D4 136775
nrbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBQN w EBeb - 0 1 ;D1 18 ;D2 324 ;D3 6672 ;D4 136666
nrbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRQNB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163422
nbrkbrqn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRQN w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7704 ;D4 163438
nrkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRQN w FBfb - 0 1 ;D1 18 ;D2 324 ;D3 6676 ;D4 137005
nrkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBQN w DBdb - 0 1 ;D1 18 ;D2 324 ;D3 6674 ;D4 136846
nrkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBQNB w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7693 ;D4 162635
nbrkrqbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKRQBN w ECec - 0 1 ;D1 19 ;D2 361 ;D3 7683 ;D4 162764
nrkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBRQBN w EBeb - 0 1 ;D1 18 ;D2 324 ;D3 6656 ;D4 136014
nrkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKRQBBN w DBdb - 0 1 ;D1 18 ;D2 324 ;D3 6656 ;D4 136150
nrkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRQNBB w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7744 ;D4 164867
bbnrkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRNQ w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201176
bnrbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRNQ w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8898 ;D4 196876
bnrkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBNQ w ECec - 0 1 ;D1 21 ;D2 441 ;D3 10097 ;D4 230182
bnrkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRNQB w ECec - 0 1 ;D1 21 ;D2 441 ;D3 10200 ;D4 234788
nbbrkrnq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRNQ w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165458
nrbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRNQ w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7773 ;D4 166567
nrbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBNQ w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7695 ;D4 163365
nrbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRNQB w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166999
nbrkbrnq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRNQ w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196033
nrkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRNQ w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7733 ;D4 164288
nrkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBNQ w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7693 ;D4 162475
nrkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBNQB w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7744 ;D4 164812
nbrkrnbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKRNBQ w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8888 ;D4 196490
nrkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBRNBQ w EBeb - 0 1 ;D1 19 ;D2 361 ;D3 7744 ;D4 164594
nrkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKRNBBQ w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7761 ;D4 165206
nrkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRNQBB w DBdb - 0 1 ;D1 19 ;D2 361 ;D3 7799 ;D4 166993
bbqrnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNNKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9024 ;D4 202018
bqrbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8986 ;D4 200181
bqrnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQRNNBKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8966 ;D4 199135
bqrnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNNKRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10257 ;D4 236921
qbbrnnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNNKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9024 ;D4 201145
qrbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNNKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8996 ;D4 200778
qrbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/QRBNNBKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 197897
qrbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNNKRB w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 235041
qbrnbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 199534
qrnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBNKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 9020 ;D4 201878
qrnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QRNNBBKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 198986
qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10202 ;D4 234327
qbrnnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNNKBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 200996
qrnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBNKBR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 198623
qrnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNNKBBR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201373
qrnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNNKRBB w FBfb - 0 1 ;D1 20 ;D2 400 ;D3 8952 ;D4 199491
bbrqnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9026 ;D4 202125
brqbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNNKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8996 ;D4 201649
brqnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRQNNBKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8974 ;D4 200545
brqnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNNKRB w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10261 ;D4 237184
rbbqnnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9072 ;D4 204305
rqbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9032 ;D4 202357
rqbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/RQBNNBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 199487
rqbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNNKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10263 ;D4 237809
rbqnbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9032 ;D4 202519
rqnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9054 ;D4 203404
rqnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RQNNBBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 200521
rqnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RQNNBKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10244 ;D4 237035
rbqnnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNNKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9052 ;D4 203872
rqnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBNKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 201369
rqnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNNKBBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9030 ;D4 202966
rqnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNNKRBB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 201029
bbrnqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9068 ;D4 204081
brnbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQNKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 9060 ;D4 204629
brnqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNQNBKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8996 ;D4 201554
brnqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQNKRB w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10286 ;D4 238578
rbbnqnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9072 ;D4 204378
rnbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9044 ;D4 204061
rnbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBQNBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8982 ;D4 201064
rnbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQNKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10269 ;D4 238350
rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9054 ;D4 203551
rnqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBNKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9044 ;D4 204016
rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8982 ;D4 201084
rnqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNQNBKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10225 ;D4 236189
rbnqnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQNKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9032 ;D4 203232
rnqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBNKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9018 ;D4 202479
rnqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQNKBBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9016 ;D4 202517
rnqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQNKRBB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 200497
bbrnnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNQKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201074
brnbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNQKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199755
brnnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNNQBKR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 201714
brnnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNQKRB w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10244 ;D4 236473
rbbnnqkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNQKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9012 ;D4 201426
rnbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNQKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8982 ;D4 201064
rnbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBNQBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8942 ;D4 199341
rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10183 ;D4 234256
rbnnbqkr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBQKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8954 ;D4 198879
rnnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBQKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8924 ;D4 198540
rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8964 ;D4 200328
rnnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNNQBKRB w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10208 ;D4 235643
rbnnqkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNQKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8992 ;D4 201321
rnnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBQKBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 198163
rnnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNQKBBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199650
rnnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNQKRBB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197692
bbrnnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201175
brnbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKQR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 198812
brnnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBQR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8994 ;D4 201443
brnnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKQRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199796
rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 9012 ;D4 202072
rnbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8978 ;D4 200691
rnbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198933
rnbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKQRB w GAga - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 197041
rbnnbkqr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8952 ;D4 199524
rnnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 198166
rnnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBQR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199682
rnnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBQRB w GAga - 0 1 ;D1 20 ;D2 400 ;D3 8920 ;D4 198102
rbnnkqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNKQBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8990 ;D4 201166
rnnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBKQBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8916 ;D4 197867
rnnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNKQBBR w HAha - 0 1 ;D1 20 ;D2 400 ;D3 8956 ;D4 199685
rnnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKQRBB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197708
bbrnnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKRQ w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10257 ;D4 236970
brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w GBgb - 0 1 ;D1 21 ;D2 441 ;D3 10202 ;D4 234695
brnnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBRQ w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8958 ;D4 199790
brnnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKRQB w FBfb - 0 1 ;D1 20 ;D2 400 ;D3 8952 ;D4 199556
rbbnnkrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKRQ w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10263 ;D4 237852
rnbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKRQ w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10227 ;D4 236410
rnbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBRQ w GAga - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 197033
rnbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKRQB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8892 ;D4 196941
rbnnbkrq/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKRQ w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10202 ;D4 235134
rnnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKRQ w GAga - 0 1 ;D1 21 ;D2 441 ;D3 10166 ;D4 233713
rnnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBRQ w GAga - 0 1 ;D1 20 ;D2 400 ;D3 8920 ;D4 198044
rnnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBRQB w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197705
rbnnkrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNNKRBQ w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8948 ;D4 199225
rnnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/RNNBKRBQ w FAfa - 0 1 ;D1 20 ;D2 400 ;D3 8874 ;D4 195924
rnnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNNKRBBQ w EAea - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197793
rnnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKRQBB w EAea - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197845
bbqrnknr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 201336
bqrbnknr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8970 ;D4 199812
bqrnkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9014 ;D4 202232
bqrnknrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKNRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 9072 ;D4 204812
qbbrnknr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKNR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 201182
qrbbnknr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKNR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8974 ;D4 199762
qrbnkbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBNR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 198918
qrbnknrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKNRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 201642
qbrnbknr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKNR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9012 ;D4 201382
qrnbbknr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKNR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 200884
qrnkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBNR w HBhb - 0 1 ;D1 20 ;D2 400 ;D3 9000 ;D4 201571
